Rk,Player,Pos,Age,Tm,G,GS,MP,FG,3P,DRB,TRB
1,Precious Achiuwa,C,23,TOR,55,12,20.7,3.6,0.5,4.1,6
2,Steven Adams,C,29,MEM,42,42,27,3.7,0,6.5,11.5
3,Bam Adebayo,C,25,MIA,75,75,34.6,8,0,6.7,9.2
4,Ochai Agbaji,SG,22,UTA,59,22,20.5,2.8,1.4,1.3,2.1
5,Santi Aldama,PF,22,MEM,77,20,21.8,3.2,1.2,3.7,4.8
6,Nickeil Alexander-Walker,SG,24,TOT,59,3,15,2.2,1,1.5,1.7
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,1,1.4,1.6
6,Nickeil Alexander-Walker,SG,24,MIN,23,0,15.5,2.1,1.1,1.5,1.8
7,Grayson Allen,SG,27,MIL,72,70,27.4,3.4,2,2.4,3.3
8,Jarrett Allen,C,24,CLE,68,68,32.6,5.9,0,6.5,9.8
9,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,1.4,1.9,2.3
10,Kyle Anderson,PF,29,MIN,69,46,28.4,3.7,0.6,4.4,5.3
11,Giannis Antetokounmpo,PF,28,MIL,63,63,32.1,11.2,0.7,9.6,11.8
12,Thanasis Antetokounmpo,SF,30,MIL,37,0,5.6,0.5,0,0.8,1.2
13,Cole Anthony,PG,22,ORL,60,4,25.9,4.6,1.3,4,4.8
14,OG Anunoby,SF,25,TOR,67,67,35.6,6.3,2.1,3.5,5
15,Ryan Arcidiacono,PG,28,TOT,20,4,8.6,0.5,0.4,0.8,0.8
15,Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.1,0.4,0.4
15,Ryan Arcidiacono,PG,28,POR,9,4,16.2,0.9,0.8,1.2,1.2
16,Deni Avdija,SF,22,WAS,76,40,26.6,3.3,0.9,5.4,6.4
17,Deandre Ayton,C,24,PHO,67,67,30.4,7.8,0.1,7.4,10
18,Udoka Azubuike,C,23,UTA,36,4,10,1.6,0,2.4,3.3
